Open,Current Price,Time,Date
,11.05,0.5199999999999996,154914,20200420
,11.05,0.5199999999999996,154917,20200420
,11.05,0.5199999999999996,154919,20200420
,11.05,0.5199999999999996,154922,20200420
,11.05,0.5199999999999996,154924,20200420
,11.05,0.5199999999999996,154926,20200420
,11.05,0.5199999999999996,154928,20200420
,11.05,0.5199999999999996,154931,20200420
,11.05,0.5199999999999996,154933,20200420
,11.05,0.5199999999999996,154935,20200420
,11.05,0.5199999999999996,154937,20200420
11.57,11.05,0.5199999999999996,154951,20200420
11.57,11.05,0.5199999999999996,154954,20200420
11.57,11.05,0.5199999999999996,154956,20200420
11.57,11.05,0.5199999999999996,154958,20200420
11.57,11.05,0.5199999999999996,155000,20200420
11.57,11.05,0.5199999999999996,155003,20200420
11.57,11.05,0.5199999999999996,155005,20200420
11.57,11.05,0.5199999999999996,155007,20200420
11.57,11.05,0.5199999999999996,155010,20200420
11.57,11.05,0.5199999999999996,155012,20200420
11.57,11.05,0.5199999999999996,155014,20200420
11.57,11.05,0.5199999999999996,155017,20200420
11.57,11.05,0.5199999999999996,155019,20200420
11.57,11.05,0.5199999999999996,155021,20200420
11.57,11.05,0.5199999999999996,155024,20200420
11.57,11.05,0.5199999999999996,155026,20200420
11.57,11.05,0.5199999999999996,155028,20200420
11.57,11.05,0.5199999999999996,155030,20200420
11.57,11.05,0.5199999999999996,155033,20200420
11.57,11.05,0.5199999999999996,155035,20200420
11.57,11.05,0.5199999999999996,155037,20200420
11.57,11.05,0.5199999999999996,155039,20200420
11.57,11.05,0.5199999999999996,155042,20200420
11.57,11.05,0.5199999999999996,155044,20200420
11.57,11.05,0.5199999999999996,155046,20200420
11.57,11.05,0.5199999999999996,155049,20200420
11.57,11.05,0.5199999999999996,155051,20200420
11.57,11.05,0.5199999999999996,155053,20200420
11.57,11.05,0.5199999999999996,155055,20200420
11.57,11.05,0.5199999999999996,155058,20200420
11.57,11.05,0.5199999999999996,155100,20200420
11.57,11.05,0.5199999999999996,155102,20200420
11.57,11.05,0.5199999999999996,155105,20200420
11.57,11.05,0.5199999999999996,155107,20200420
11.57,11.05,0.5199999999999996,155109,20200420
11.57,11.05,0.5199999999999996,155111,20200420
11.57,11.05,0.5199999999999996,155114,20200420
11.57,11.05,0.5199999999999996,155117,20200420
11.57,11.05,0.5199999999999996,155119,20200420
11.57,11.05,0.5199999999999996,155121,20200420
11.57,11.05,0.5199999999999996,155123,20200420
11.57,11.05,0.5199999999999996,155126,20200420
11.57,11.05,0.5199999999999996,155128,20200420
11.57,11.05,0.5199999999999996,155130,20200420
11.57,11.05,0.5199999999999996,155133,20200420
11.57,11.05,0.5199999999999996,155135,20200420
11.57,11.05,0.5199999999999996,155137,20200420
11.57,11.05,0.5199999999999996,155139,20200420
11.57,11.05,0.5199999999999996,155142,20200420
11.57,11.05,0.5199999999999996,155144,20200420
11.57,11.05,0.5199999999999996,155147,20200420
11.57,11.05,0.5199999999999996,155149,20200420
11.57,11.05,0.5199999999999996,155151,20200420
11.57,11.05,0.5199999999999996,155153,20200420
11.57,11.05,0.5199999999999996,155156,20200420
11.57,11.05,0.5199999999999996,155158,20200420
11.57,11.05,0.5199999999999996,155200,20200420
11.57,11.05,0.5199999999999996,155202,20200420
11.57,11.05,0.5199999999999996,155205,20200420
11.57,11.05,0.5199999999999996,155207,20200420
11.57,11.05,0.5199999999999996,155209,20200420
11.57,11.05,0.5199999999999996,155211,20200420
11.57,11.05,0.5199999999999996,155214,20200420
11.57,11.05,0.5199999999999996,155217,20200420
11.57,11.05,0.5199999999999996,155219,20200420
11.57,11.05,0.5199999999999996,155222,20200420
11.57,11.05,0.5199999999999996,155224,20200420
11.57,11.05,0.5199999999999996,155226,20200420
11.57,11.05,0.5199999999999996,155228,20200420
11.57,11.05,0.5199999999999996,155231,20200420
11.57,11.05,0.5199999999999996,155233,20200420
11.57,11.05,0.5199999999999996,155235,20200420
11.57,11.05,0.5199999999999996,155237,20200420
11.57,11.05,0.5199999999999996,155240,20200420
11.57,11.05,0.5199999999999996,155242,20200420
11.57,11.05,0.5199999999999996,155244,20200420
11.57,11.05,0.5199999999999996,155247,20200420
11.57,11.05,0.5199999999999996,155249,20200420
11.57,11.05,0.5199999999999996,155251,20200420
11.57,11.05,0.5199999999999996,155254,20200420
11.57,11.05,0.5199999999999996,155256,20200420
11.57,11.05,0.5199999999999996,155258,20200420
11.57,11.05,0.5199999999999996,155300,20200420
11.57,11.05,0.5199999999999996,155303,20200420
11.57,11.05,0.5199999999999996,155305,20200420
11.57,11.05,0.5199999999999996,155307,20200420
11.57,11.05,0.5199999999999996,155309,20200420
11.57,11.05,0.5199999999999996,155312,20200420
11.57,11.05,0.5199999999999996,155314,20200420
11.57,11.05,0.5199999999999996,155318,20200420
11.57,11.05,0.5199999999999996,155320,20200420
11.57,11.05,0.5199999999999996,155323,20200420
11.57,11.05,0.5199999999999996,155325,20200420
